Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Afghanistan,1990,15.96,3622,11731193,1.36,308.75
Albania,1990,12.18,5620,3286542,3.71,1710.00
Algeria,1990,94.07,66766,26239708,3.59,2544.46
Angola,1990,105.02,15989,10333844,10.16,1547.25
Antigua & Barbuda,1990,0.40,599,61906,6.52,9675.96
Argentina,1990,312.93,129481,32624874,9.59,3968.78
Armenia,1990,14.50,4063,3544695,4.09,1146.22
Australia,1990,503.78,427251,17065100,29.52,25036.54
Austria,1990,64.31,223054,7677850,8.38,29051.62
Azerbaijan,1990,71.11,11947,7159000,9.93,1668.81
"Bahamas, The",1990,0.91,5739,256338,3.54,22388.41
Bahrain,1990,15.29,7239,495944,30.82,14596.41
Bangladesh,1990,119.49,28954,107385847,1.11,269.63
Barbados,1990,2.83,3168,259336,10.90,12215.81
Belarus,1990,169.89,23730,10189000,16.67,2328.98
Belgium,1990,146.76,284240,9967379,14.72,28517.03
Belize,1990,10.58,484,187552,56.40,2580.62
Benin,1990,20.37,2290,5001271,4.07,457.88
Bhutan,1990,-1.61,345,535738,-3.01,643.97
Bolivia,1990,105.62,5665,6794046,15.55,833.82
Bosnia & Herzegovina,1990,5.67,7755,4526511,1.25,1713.24
Botswana,1990,22.33,5163,1383912,16.13,3730.73
Brazil,1990,1606.59,598508,149648341,10.74,3999.43
Brunei,1990,14.76,6894,256929,57.45,26832.32
Bulgaria,1990,90.76,24925,8718289,10.41,2858.93
Burkina Faso,1990,24.81,2391,8811033,2.82,271.36
Burundi,1990,11.22,1224,5605873,2.00,218.34
Cambodia,1990,42.48,899,9057339,4.69,99.26
Cameroon,1990,187.60,12067,12070359,15.54,999.72
Canada,1990,681.93,774585,27791000,24.54,27871.79
Cape Verde,1990,0.21,250,351960,0.59,710.31
Central African Republic,1990,51.77,1098,2912824,17.77,376.95
Chad,1990,33.87,2435,5951574,5.69,409.14
Chile,1990,53.30,54459,13213930,4.03,4121.33
China,1990,3218.45,525283,1135185000,2.84,462.73
Colombia,1990,167.32,94341,33306941,5.02,2832.47
Comoros,1990,0.43,278,412790,1.04,673.47
"Congo, Dem. Rep.",1990,201.87,17658,34910591,5.78,505.81
"Congo, Rep.",1990,13.78,4330,2383283,5.78,1816.82
Cook Islands,1990,0.07,98,18191,3.90,5387.28
Costa Rica,1990,14.46,9815,3078551,4.70,3188.19
Cote d'Ivoire,1990,24.65,13609,12115806,2.03,1123.24
Croatia,1990,20.32,22388,4780000,4.25,4683.68
Cuba,1990,38.49,38539,10600841,3.63,3635.47
Cyprus,1990,4.99,9641,766611,6.51,12576.13
Czech Republic,1990,135.32,106767,10333355,13.10,10332.27
Denmark,1990,67.41,190030,5140939,13.11,36964.06
Djibouti,1990,0.95,733,589924,1.61,1242.53
Dominica,1990,0.12,283,70928,1.70,3989.96
Dominican Republic,1990,18.57,15850,7245127,2.56,2187.68
Ecuador,1990,108.66,26804,10123593,10.73,2647.68
Egypt,1990,123.71,49529,56336614,2.20,879.16
El Salvador,1990,8.25,9702,5344226,1.54,1815.42
Equatorial Guinea,1990,5.59,148,373851,14.95,395.88
Eritrea,1990,5.14,480,3272563,1.57,146.67
Estonia,1990,37.21,5681,1569174,23.71,3620.38
Ethiopia,1990,63.32,6919,48042755,1.32,144.02
Fiji,1990,2.13,2115,728339,2.93,2903.87
Finland,1990,57.49,143592,4986431,11.53,28796.55
France,1990,496.84,1650028,58409202,8.51,28249.45
Gabon,1990,7.10,6744,946703,7.50,7123.67
"Gambia, The",1990,3.92,389,916811,4.28,424.30
Georgia,1990,33.23,12001,4802000,6.92,2499.17
Germany,1990,1111.27,2285750,79433029,13.99,28775.81
