,Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
0,Afghanistan,1990.0,15.96,3622,11731193.0,1.36,308.75
1,Albania,1990.0,12.18,5620,3286542.0,3.71,1710.00
2,Algeria,1990.0,94.07,66766,26239708.0,3.59,2544.46
3,Angola,1990.0,105.02,15989,10333844.0,10.16,1547.25
4,Antigua & Barbuda,1990.0,0.4,599,61906.0,6.52,9675.96
5,Argentina,1990.0,312.93,129481,32624874.0,9.59,3968.78
6,Armenia,1990.0,14.5,4063,3544695.0,4.09,1146.22
7,Australia,1990.0,503.78,427251,17065100.0,29.52,25036.54
8,Austria,1990.0,64.31,223054,7677850.0,8.38,29051.62
9,Azerbaijan,1990.0,71.11,11947,7159000.0,9.93,1668.81
10,"Bahamas, The",1990.0,0.91,5739,256338.0,3.54,22388.41
11,Bahrain,1990.0,15.29,7239,495944.0,30.82,14596.41
12,Bangladesh,1990.0,119.49,28954,107385847.0,1.11,269.63
13,Barbados,1990.0,2.83,3168,259336.0,10.90,12215.81
14,Belarus,1990.0,169.89,23730,10189000.0,16.67,2328.98
15,Belgium,1990.0,146.76,284240,9967379.0,14.72,28517.03
16,Belize,1990.0,10.58,484,187552.0,56.40,2580.62
17,Benin,1990.0,20.37,2290,5001271.0,4.07,457.88
18,Bhutan,1990.0,-1.61,345,535738.0,-3.01,643.97
19,Bolivia,1990.0,105.62,5665,6794046.0,15.55,833.82
20,Bosnia & Herzegovina,1990.0,5.67,7755,4526511.0,1.25,1713.24
21,Botswana,1990.0,22.33,5163,1383912.0,16.13,3730.73
22,Brazil,1990.0,1606.59,598508,149648341.0,10.74,3999.43
23,Brunei,1990.0,14.76,6894,256929.0,57.45,26832.32
24,Bulgaria,1990.0,90.76,24925,8718289.0,10.41,2858.93
25,Burkina Faso,1990.0,24.81,2391,8811033.0,2.82,271.36
26,Burundi,1990.0,11.22,1224,5605873.0,2.00,218.34
27,Cambodia,1990.0,42.48,899,9057339.0,4.69,99.26
28,Cameroon,1990.0,187.6,12067,12070359.0,15.54,999.72
29,Canada,1990.0,681.93,774585,27791000.0,24.54,27871.79
30,Cape Verde,1990.0,0.21,250,351960.0,0.59,710.31
31,Central African Republic,1990.0,51.77,1098,2912824.0,17.77,376.95
32,Chad,1990.0,33.87,2435,5951574.0,5.69,409.14
33,Chile,1990.0,53.3,54459,13213930.0,4.03,4121.33
34,China,1990.0,3218.45,525283,1135185000.0,2.84,462.73
35,Colombia,1990.0,167.32,94341,33306941.0,5.02,2832.47
36,Comoros,1990.0,0.43,278,412790.0,1.04,673.47
